Dbg: 18939664 - 3856 | 560 496 132019-02-25T15:46:35;
Connected: COM2019-02-25T15:46:37;
Sending: p1116.01678295732019-02-25T15:54:17;
Sending: p1096.26807249662019-02-25T15:54:18;
Sending: p1215.50873034072019-02-25T15:54:19;
Sending: p1091.97512053922019-02-25T15:54:20;
Sending: p1130.4445247212019-02-25T15:54:21;
Sending: p1136.37882986572019-02-25T15:54:22;
Sending: p1116.17432289452019-02-25T15:54:23;
Sending: p1055.87676606922019-02-25T15:54:24;
Sending: p1049.88679648732019-02-25T15:54:25;
Sending: p1153.27158141282019-02-25T15:54:26;
Sending: p1087.7013352222019-02-25T15:54:27;
Sending: p1230.35489586442019-02-25T15:54:29;
Sending: p1026.76986224272019-02-25T15:54:30;
Sending: p1003.18700092382019-02-25T15:54:31;
Sending: p1118.5365736802019-02-25T15:54:32;
Sending: p1059.5512445962019-02-25T15:54:33;
Sending: p1146.24792150192019-02-25T15:54:34;
Sending: p1068.58224044442019-02-25T15:54:35;
Sending: p1202.61952395652019-02-25T15:54:36;
Sending: p1111.62338835602019-02-25T15:54:37;
Sending: p1122.80404474652019-02-25T15:54:38;
Sending: p1188.02994113622019-02-25T15:54:39;
Sending: p1214.10591215112019-02-25T15:54:40;
Sending: p1199.33904158292019-02-25T15:54:41;
Sending: p1211.65863317852019-02-25T15:54:42;
Sending: p1167.98379605282019-02-25T15:54:43;
Sending: p1128.687414122019-02-25T15:54:44;
Sending: p1071.41712788082019-02-25T15:54:45;
Sending: p1222.55011341752019-02-25T15:54:46;
Sending: p1176.68991096932019-02-25T15:54:47;
Sending: p1286.46218242362019-02-25T15:54:48;
Sending: p1319.84939607882019-02-25T15:54:50;
Sending: p1054.70447828322019-02-25T15:54:51;
Sending: p1088.00636372642019-02-25T15:54:52;
Sending: p1233.92456288452019-02-25T15:54:53;
Sending: p1172.66130839712019-02-25T15:54:54;
Sending: p1203.13949056142019-02-25T15:54:55;
Sending: p1320.24062714852019-02-25T15:54:56;
Sending: p1002.36249866302019-02-25T15:54:57;
Sending: p1220.25630514082019-02-25T15:54:58;
Sending: p1094.73248554742019-02-25T15:54:59;
Sending: p1020.28332380472019-02-25T15:55:00;
Sending: p1092.43290835202019-02-25T15:55:01;
Sending: p1108.50124449792019-02-25T15:55:02;
Sending: p1076.50982301292019-02-25T15:55:03;
Sending: p1073.20982021092019-02-25T15:55:04;
Sending: p1101.66673431782019-02-25T15:55:05;
Sending: p1126.29819913572019-02-25T15:55:06;
Sending: p1321.02166774922019-02-25T15:55:07;
Sending: p1151.14309089222019-02-25T15:55:08;
Sending: p1140.08725379642019-02-25T15:55:09;
Sending: p1164.32399482202019-02-25T15:55:11;
Sending: p1259.65583216682019-02-25T15:55:12;
Sending: p1197.09959261382019-02-25T15:55:13;
Sending: p1189.56394480212019-02-25T15:55:14;
Sending: p1255.25745360792019-02-25T15:55:15;
Sending: p1108.65639267022019-02-25T15:55:16;
Sending: p1133.00682199912019-02-25T15:55:17;
Sending: p1102.9042110532019-02-25T15:55:18;
Sending: p1171.4896207742019-02-25T15:55:19;
Sending: p1080.7261006782019-02-25T15:55:20;
Sending: p1159.19444557102019-02-25T15:55:21;
Sending: p1156.55655589402019-02-25T15:55:22;
Sending: p1148.52879270672019-02-25T15:55:23;
Sending: p1247.79256395392019-02-25T15:55:24;
Sending: p1070.81812309862019-02-25T15:55:25;
Sending: p1130.12649290342019-02-25T15:55:26;
Sending: p1017.19921208162019-02-25T15:55:27;
Sending: p1037.45897225572019-02-25T15:55:28;
Sending: p1218.84759330772019-02-25T15:55:30;
Sending: p1329.25848924752019-02-25T15:55:31;
Sending: p1106.63166700562019-02-25T15:55:32;
Sending: p1308.21143174382019-02-25T15:55:33;
Sending: p1371.67742551732019-02-25T15:55:34;
Sending: p1292.3301520572019-02-25T15:55:35;
Sending: p1162.500957542019-02-25T15:55:36;
Sending: p1267.03066475052019-02-25T15:55:37;
Sending: p1291.57081705562019-02-25T15:55:38;
Sending: p1175.67999142442019-02-25T15:55:39;
Sending: p1137.18295397712019-02-25T15:55:40;
Sending: p1243.99068295402019-02-25T15:55:41;
Sending: p1155.73412683282019-02-25T15:55:42;
Sending: p1190.58830519662019-02-25T15:55:43;
